"strategy","action","entry_time","result_10min","pnl_value"
"MWP-31","Buy","2025-10-01 15:19:02","WIN",50
"Range Filter5","Buy","2025-10-01 15:20:02","WIN",50
"MWP20-3m","Buy","2025-10-01 15:21:02","WIN",50
"Range FRAMA100-3","Buy","2025-10-01 15:27:02","WIN",50
"SuperTrend9","Sell","2025-10-01 17:09:02","WIN",50
"MWP10-1m","Sell","2025-10-01 17:09:02","WIN",50
"SuperTrend10","Sell","2025-10-01 17:12:03","LOSE",-50
"UTBOT2-5","Sell","2025-10-01 17:15:04","LOSE",-50
"SuperTrend9","Buy","2025-10-01 17:37:02","LOSE",-50
"MWP10-1m","Buy","2025-10-01 17:38:02","WIN",50
"SuperTrend9","Sell","2025-10-01 17:40:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 17:41:01","LOSE",-50
"SuperTrend9","Buy","2025-10-01 17:46:01","LOSE",-50
"MWP10-1m","Buy","2025-10-01 17:47:02","LOSE",-50
"SuperTrend9","Sell","2025-10-01 17:54:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 17:55:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 18:05:02","WIN",50
"MWP10-1m","Buy","2025-10-01 18:05:02","WIN",50
"SuperTrend9","Sell","2025-10-01 18:26:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 18:29:02","LOSE",-50
"SuperTrend10","Sell","2025-10-01 18:31:03","LOSE",-50
"SuperTrend9","Buy","2025-10-01 18:33:02","WIN",50
"MWP10-1m","Buy","2025-10-01 18:34:02","WIN",50
"UTBOT2-5","Buy","2025-10-01 18:36:02","WIN",50
"SuperTrend9","Sell","2025-10-01 19:07:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 19:07:06","LOSE",-50
"MWP10-1m","Buy","2025-10-01 19:21:03","LOSE",-50
"SuperTrend9","Buy","2025-10-01 19:21:03","LOSE",-50
"Range FRAMA100-3","Buy","2025-10-01 19:21:03","LOSE",-50
"SuperTrend9","Sell","2025-10-01 19:29:03","WIN",50
"MWP10-1m","Sell","2025-10-01 19:30:05","WIN",50
"SuperTrend10","Sell","2025-10-01 19:32:02","WIN",50
"UTBOT2-5","Sell","2025-10-01 19:39:02","LOSE",-50
"Rang Fillter WR","Sell","2025-10-01 19:55:03","LOSE",-50
"Range Filter5","Sell","2025-10-01 19:55:03","LOSE",-50
"SuperTrend9","Buy","2025-10-01 20:04:02","WIN",50
"MWP10-1m","Buy","2025-10-01 20:05:03","LOSE",-50
"SuperTrend9","Sell","2025-10-01 20:31:04","WIN",50
